item,n_i
1196,728
1197,1846
1198,2117
1199,303
1200,701
1201,22
1202,281
1203,36
1204,128
1205,61
1206,100
1207,298
1208,346
1209,29
1210,108
1211,7
1212,68
1213,1049
1214,668
1215,2267
1216,155
1217,1074
1218,1689
1219,2238
1220,37
1221,104
1222,2077
1223,165
1224,599
1225,49
1226,914
1227,14
1228,100
1229,30
1230,649
1231,485
1232,434
1233,814
1234,80
1235,361
1236,250
1237,203
1238,174
1239,168
1240,2163
1241,1368
1242,164
1243,732
1244,186
1245,1491
1246,429
1247,174
1248,409
1249,924
1250,359
1251,223
1252,348
1253,542
1254,465
1255,180
1256,2409
1257,691
1258,981
1259,877
1260,494
1261,429
1262,246
1263,441
1264,185
1265,170
1266,1530
1267,476
1268,472
1269,6
1270,582
1271,40
1272,1666
1273,1845
1274,187
1275,94
1276,245
1277,1458
1278,244
1279,170
1280,353
1281,422
1282,101
1283,408
1284,1052
1285,215
1286,180
1287,154
1288,874
1289,690
1290,62
1291,1178
1292,1156
1293,78
1294,268
1295,579
1296,382
1297,46
1298,865
1299,741
1300,699
1301,508
1302,508
1303,38
1304,511
1305,174
1306,2
1307,340
1308,2548
1309,141
1310,1627
1311,128
1312,352
1313,341
1314,1428
1315,245
1316,395
1317,1487
1318,291
1319,890
1320,57
1321,508
1322,1830
1323,123
1324,301
1325,1064
1326,222
1327,542
1328,128
1329,312
1330,1274
1331,812
1332,456
1333,2227
1334,254
1335,383
1336,1063
1337,100
1338,1130
1339,694
1340,499
1341,477
1342,345
1343,387
1344,137
1345,235
1346,1129
1347,203
1348,101
1349,1687
1350,422
1351,45
1352,791
1353,15
1354,559
1355,1081
1356,19
1357,97
1358,395
1359,261
1360,490
1361,112
1362,319
1363,45
1364,125
1365,274
1366,559
1367,662
1368,94
1369,289
1370,61
1371,310
1372,23
1373,415
1374,131
1375,908
1376,1038
1377,74
1378,17
1379,1483
1380,167
1381,462
1382,58
1383,124
1384,383
1385,158
1386,431
1387,2531
1388,53
1389,322
1390,189
1391,1964
1392,281
1393,27
1394,288
1395,665
1396,240
1397,748
1398,217
1399,18
1400,147
1401,211
1402,417
1403,294
1404,153
1405,621
1406,1138
1407,263
1408,44
1409,38
1410,544
1411,200
1412,1857
1413,865
1414,137
1415,1563
1416,59
1417,344
1418,87
1419,1106
1420,916
1421,482
1422,262
1423,827
1424,243
1425,89
1426,76
1427,78
1428,265
1429,1082
1430,1064
1431,278
1432,242
1433,168
1434,67
1435,465
1436,2029
1437,215
1438,2196
1439,273
1440,79
1441,40
1442,238
1443,832
1444,1713
1445,359
1446,200
1447,528
1448,158
1449,340
1450,352
1451,688
1452,47
1453,231
1454,46
1455,32
1456,634
1457,687
1458,627
1459,902
1460,124
1461,32
1462,580
1463,1050
1464,126
1465,1487
1466,103
1467,68
1468,169
1469,97
1470,780
1471,38
1472,149
1473,660
1474,15
1475,259
1476,413
1477,264
1478,441
1479,426
1480,798
1481,666
1482,1142
1483,212
1484,121
1485,1190
1486,137
1487,269
1488,187
1489,243
1490,159
1491,227
1492,829
1493,487
1494,21
1495,428
1496,9
1497,649
1498,209
1499,133
1500,938
1501,154
1502,48
1503,162
1504,104
1505,131
1506,145
1507,48
1508,315
1509,1579
1510,464
1511,373
1512,920
1513,1591
1514,334
1515,438
1516,169
1517,184
1518,128
1519,965
1520,390
1521,143
1522,23
1523,224
1524,484
1525,402
1526,257
1527,39
1528,804
1529,1117
1530,138
1531,266
1532,329
1533,1346
1534,929
1535,347
1536,559
1537,9
1538,1232
1539,521
1540,58
1541,238
1542,302
1543,704
1544,715
1545,371
1546,903
1547,246
1548,351
1549,179
1550,984
1551,29
1552,646
1553,1193
1554,1476
1555,11
1556,1681
1557,441
1558,567
1559,560
1560,121
1561,69
1562,291
1563,24
1564,79
1565,157
1566,1178
1567,422
1568,1234
1569,58
1570,1009
1571,76
1572,867
1573,1523
1574,1056
1575,62
1576,36
1577,168
1578,185
1579,16
1580,354
1581,501
1582,686
1583,247
1584,44
1585,130
1586,240
1587,1861
1588,777
1589,499
1590,868
1591,867
1592,105
1593,176
1594,590
1595,138
1596,489
1597,2700
1598,333
1599,186
1600,165
1601,70
